example_id                                                   | status | run_time        |
------------------------------------------------------------ | ------ | --------------- |
./spec/request/rewards_request_spec.rb[1:1:1]                | passed | 0.00396 seconds |
./spec/request/rewards_request_spec.rb[1:1:2]                | passed | 0.05818 seconds |
./spec/request/rewards_request_spec.rb[1:1:3]                | passed | 0.00463 seconds |
./spec/services/rewards/calculator_spec.rb[1:1:1]            | passed | 0.39384 seconds |
./spec/services/rewards/file_processor_spec.rb[1:1:1]        | passed | 0.01251 seconds |
./spec/services/rewards/graph_spec.rb[1:1:1]                 | passed | 0.00063 seconds |
./spec/services/rewards/graph_spec.rb[1:1:2]                 | passed | 0.0009 seconds  |
./spec/services/rewards/graph_spec.rb[1:1:3]                 | passed | 0.00067 seconds |
./spec/services/rewards/graph_spec.rb[1:1:4]                 | passed | 0.00073 seconds |
./spec/services/rewards/graph_spec.rb[1:1:5]                 | passed | 0.00096 seconds |
./spec/services/rewards/node_spec.rb[1:1:1]                  | passed | 0.00066 seconds |
./spec/services/rewards/validators/content_spec.rb[1:1:1]    | passed | 0.00408 seconds |
./spec/services/rewards/validators/content_spec.rb[1:1:2]    | passed | 0.00216 seconds |
./spec/services/rewards/validators/content_spec.rb[1:1:3]    | passed | 0.00296 seconds |
./spec/services/rewards/validators/content_spec.rb[1:1:4]    | passed | 0.00147 seconds |
./spec/services/rewards/validators/content_spec.rb[1:1:5]    | passed | 0.0013 seconds  |
./spec/services/rewards/validators/content_spec.rb[1:1:6]    | passed | 0.00083 seconds |
./spec/services/rewards/validators/file_input_spec.rb[1:1:1] | passed | 0.00154 seconds |
./spec/services/rewards/validators/file_input_spec.rb[1:1:2] | passed | 0.00296 seconds |
./spec/services/rewards/validators/file_input_spec.rb[1:1:3] | passed | 0.00152 seconds |
./spec/services/rewards/validators/file_input_spec.rb[1:1:4] | passed | 0.00111 seconds |
